objectid,filename,title,creator,editor,date,subject,description,source,identifier,format,language,rights,rightsstatement
coll001,welty.jpeg,The Collected Stories of Katherine Anne Porter,Katherine Anne Porter,,"1979, c1969.",Fiction, Note:,Mississippi Department of Archives and History,W.2005. 1.1,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,welty.jpeg,The Professor's House,Willa Cather, ,"[1973, c1925]",Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.2,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,welty.jpeg,My Mortal Enemy,Willa Cather, ,"[1961, c1954]",Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.3,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,welty.jpeg,The Troll Garden,Willa Cather, ,1961,Fiction, Note: ,Mississippi Department of Archives and History,W. 2005.1.4,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,welty.jpeg,The Persian Wars,Herodotus , ,1947,Non-fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.5,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,welty.jpeg,The Portable Renaissance Reader,James Bruce; Mary Martin Ross; McLaughlin, ,1953,Non-fiction, Note: ,Mississippi Department of Archives and History,W. 2005.1.6,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,welty.jpeg,The Portable Colderidge,Samuel Taylor Colderidge,I.A. Richards,1950,Anthology, Note: ,Mississippi Department of Archives and History,W.2005.1.7,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,welty.jpeg,A Christmas Story,Katherine Anne Porter, ,1967,Fiction," ""Eudora, you are for me a presence in this life we live in at the same time - a world of awesome strangeness much like a light that throws a far steady beam to my heart.  Bless you, Love Always, Katherine Anne Winter Solstice, 1973 Note: ",Mississippi Department of Archives and History,W.2005.1.8,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,welty.jpeg,Il Procuratore,Eugenio Vaquer, ,1950,,"a Eudora Welty, con ammirata amicisia, Eugenio Vaquer Jackson, March 24, 1953. Note: A small, pink piece of paper found on page 63.  It reads ""Settant Vole di Eugenio Vaquer, Casini Edetore Roma"" and photo of author; on back description summary of book; on page 129 were found 2 small ads.",Mississippi Department of Archives and History,W.2005.1.9,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,welty.jpeg,The Portable Melville: Two Novels,Herman Melville,Jay Leida,1952,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.10,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll011,welty.jpeg,Seven,Carson McCullers, ,1954,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.11,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll012,welty.jpeg,The Sacred Fount,Henry James, ,1953,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.12,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll013,welty.jpeg,Five Stories,Willa Cather, ,1956,Fiction, Note: White business card for William Cole (page 38).,Mississippi Department of Archives and History,W. 2005.1.13,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll014,welty.jpeg,Candide,Voltaire, ,1918,Fiction,Eudora Welty 1928 Note: ,Mississippi Department of Archives and History,W. 2005.1.14,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll015,welty.jpeg,Other Voices Other Rooms,Truman Capote, ,1948,Fiction, Note: ,Mississippi Department of Archives and History,W. 2005. 1.15,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll016,welty.jpeg,South Wind,Norman Douglas, ,1925,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.16,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll017,welty.jpeg,The Decameron of Giovanni Boccaccio,Giovanni Boccacio, ,1941,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.17,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll018,welty.jpeg,Hemingway,Ernest Hemingway,Malcolm Cowley,1944,Anthology, Note: ,Mississippi Department of Archives and History,W.2005.1.18,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll019,welty.jpeg,Katherine Anne Porter:  A Collection of Critical Essays,Katherine Anne Porter,Robert Penn Warren,1979,Non-fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.19,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll020,welty.jpeg,Experiences of an Irish R.M .,E.CE; Martin Somerville; Ross, ,1944,Fiction," Note: 3 pages of a handwritten story with a character named ""Hip"" found at end of book.",Mississippi Department of Archives and History,W.2005.1.20,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll021,welty.jpeg,A Defense of Circe,Katherine Anne Porter, ,1954,, Note: ,Mississippi Department of Archives and History,W.2005.1.21,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll022,welty.jpeg,The Portable Conrad,Joesph Conrad,Morton Dauwen Zabel,1947,Anthology, Note: ,Mississippi Department of Archives and History,W.2005.1.22,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll023,welty.jpeg,The Common Thread,Michael Seide, ,1944,Fiction,"""For Eudora  - In appreciation of a most cherished friendship"" - Mike Note: ",Mississippi Department of Archives and History,W.2005.1.23,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll024,welty.jpeg,Clarrissa: The History of Clarissa Harlowe,Samuel Richardson, ,1950,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.24,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll025,welty.jpeg,Selected Stories of Eudora Welty,Eudora Welty, ,1954,Fiction,"Proofreading marks in pen and pencil throughout. Eudora Welty signature on title page in pencil, "" 153 back "" handwritten on title page; 1st page Eudora Welty signature in pen on last blank page in pencil ""Trip Expenses Phila, '62 BUS.R.T. Train, R.T. 136.81 Taxis 1.75, meals, train (3.00, 2.30) Tips 1.50. Note: Intro by Katherine Anne Porter",Mississippi Department of Archives and History,W.2005.1.25,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
